,Patients,Hospitalized,ICU,Death
17191,0.0,0.0,0.0,0.0
17193,0.0,0.0,0.0,0.0
17195,2772.0,88.0,11.0,67.0
17197,28105.0,2242.0,374.0,415.0
17199,2529.0,96.0,7.0,48.0
17201,14729.0,570.0,133.0,215.0
17203,959.0,23.0,2.0,0.0
18001,536.0,3.0,0.0,0.0
18003,6688.0,278.0,0.0,82.0
18005,957.0,52.0,0.0,0.0
18007,0.0,0.0,0.0,0.0
18009,0.0,0.0,0.0,0.0
18011,1583.0,25.0,0.0,38.0
18013,0.0,0.0,0.0,0.0
18015,583.0,3.0,0.0,0.0
18017,1967.0,5.0,0.0,0.0
18019,2203.0,67.0,0.0,25.0
18021,338.0,4.0,0.0,0.0
18023,728.0,7.0,0.0,0.0
18025,0.0,0.0,0.0,0.0
18027,421.0,29.0,0.0,0.0
