,Patients,Hospitalized,ICU,Death
17103,482.0,7.0,1.0,0.0
17105,473.0,21.0,8.0,0.0
17107,465.0,15.0,2.0,0.0
17109,511.0,27.0,5.0,0.0
17111,5227.0,677.0,190.0,81.0
17113,3760.0,134.0,24.0,0.0
17115,2045.0,135.0,26.0,14.0
17117,655.0,14.0,7.0,0.0
17119,6361.0,377.0,91.0,108.0
17121,685.0,23.0,4.0,0.0
17123,0.0,0.0,0.0,0.0
17125,0.0,0.0,0.0,0.0
17127,0.0,0.0,0.0,0.0
17129,0.0,0.0,0.0,0.0
17131,0.0,0.0,0.0,0.0
17133,805.0,51.0,10.0,12.0
17135,775.0,37.0,7.0,0.0
17137,745.0,21.0,14.0,0.0
17139,0.0,0.0,0.0,0.0
17141,966.0,48.0,4.0,0.0
17143,3897.0,305.0,50.0,13.0
17145,361.0,20.0,3.0,0.0
17147,0.0,0.0,0.0,0.0
17149,0.0,0.0,0.0,0.0
17151,0.0,0.0,0.0,0.0
17153,0.0,0.0,0.0,0.0
17155,0.0,0.0,0.0,0.0
17157,1044.0,31.0,11.0,0.0
17159,0.0,0.0,0.0,0.0
17161,3454.0,196.0,61.0,27.0
17163,7212.0,583.0,158.0,88.0
17165,429.0,14.0,3.0,0.0
17167,2886.0,151.0,41.0,19.0
17169,0.0,0.0,0.0,0.0
17171,0.0,0.0,0.0,0.0
17173,426.0,22.0,0.0,0.0
17175,0.0,0.0,0.0,0.0
17177,657.0,49.0,16.0,0.0
17179,2033.0,106.0,18.0,13.0
17181,0.0,0.0,0.0,0.0
17183,1228.0,27.0,5.0,0.0
17185,0.0,0.0,0.0,0.0
17187,0.0,0.0,0.0,0.0
17189,0.0,0.0,0.0,0.0
17191,0.0,0.0,0.0,0.0
17193,0.0,0.0,0.0,0.0
17195,962.0,53.0,11.0,0.0
17197,15808.0,1846.0,374.0,348.0
17199,1540.0,47.0,7.0,37.0
17201,8129.0,474.0,133.0,142.0
17203,481.0,20.0,2.0,0.0
18001,136.0,2.0,0.0,0.0
18003,3473.0,253.0,0.0,57.0
18005,661.0,52.0,0.0,0.0
18007,0.0,0.0,0.0,0.0
18009,0.0,0.0,0.0,0.0
18011,973.0,23.0,0.0,38.0
18013,0.0,0.0,0.0,0.0
18015,356.0,1.0,0.0,0.0
18017,1692.0,3.0,0.0,0.0
18019,1304.0,58.0,0.0,25.0
18021,129.0,1.0,0.0,0.0
18023,393.0,4.0,0.0,0.0
18025,0.0,0.0,0.0,0.0
18027,173.0,21.0,0.0,0.0
18029,367.0,11.0,0.0,11.0
18031,303.0,6.0,0.0,0.0
18033,241.0,2.0,0.0,0.0
